track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
A Moment Apart; A Moment Apart (Deluxe Edition); 2018-11-30; spotify:album:4MRcN8PhMhBe84tcPLe2QJ; ODESZA; spotify:artist:21mKp7DqtSNHhCAU2ugvUw; 234244; 52; 2; spotify:track:5XOyL7enRCDxMsXtPSeaXD; 0.51; 0.663; 7; 0; -7.896; 0.0333; 0.179; 0.673; 0.491; 0.075; 120.018; 4
Across The Room (feat. Leon Bridges); A Moment Apart (Deluxe Edition); 2018-11-30; spotify:album:4MRcN8PhMhBe84tcPLe2QJ; ODESZA; spotify:artist:21mKp7DqtSNHhCAU2ugvUw; 283537; 49; 7; spotify:track:68EDdlH5WsdvPYvkqwCkrB; 0.566; 0.588; 6; 1; -5.967; 0.0308; 0.0154; 2.37e-05; 0.111; 0.249; 82.04; 4
Always This Late; In Return; 2014-09-08; spotify:album:5SXT6dwhHX56Sos7KMcMF5; ODESZA; spotify:artist:21mKp7DqtSNHhCAU2ugvUw; 160941; 49; 1; spotify:track:06JRkix5RRMRIWffxZqlGt; 0.542; 0.585; 3; 1; -9.3; 0.0474; 0.0141; 0.213; 0.0929; 0.337; 170.046; 4
Bloom; In Return; 2014-09-08; spotify:album:5SXT6dwhHX56Sos7KMcMF5; ODESZA; spotify:artist:21mKp7DqtSNHhCAU2ugvUw; 195692; 58; 3; spotify:track:0vtX8UMG38p7IXpP4lZJ2z; 0.555; 0.585; 2; 1; -6.672; 0.0272; 0.0149; 0.86; 0.0707; 0.0803; 130.004; 4
Tadow; Lady Lady; 2018-09-07; spotify:album:2wqG59dVVQlJaxoO7N0LJt; Masego; spotify:artist:3ycxRkcZ67ALN3GQJ57Vig; 301893; 78; 13; spotify:track:51rPRW8NjxZoWPPjnRGzHw; 0.704; 0.487; 9; 0; -6.407; 0.0604; 0.669; 8.64e-05; 0.111; 0.313; 121.726; 4
Royals; Pure Heroine; 2013-09-27; spotify:album:0rmhjUgoVa17LZuS8xWQ3v; Lorde; spotify:artist:163tK9Wjr9P9DmM0AVK7lm; 190185; 76; 3; spotify:track:2dLLR6qlu5UJ5gk0dKz0h3; 0.674; 0.428; 7; 1; -9.504; 0.122; 0.121; 0; 0.132; 0.337; 84.878; 4
Night Running; Social Cues; 2019-04-19; spotify:album:2VuZJsJBPLwg9BeQFQle8G; Cage The Elephant; spotify:artist:26T3LtbuGT1Fu9m0eRq5X3; 208133; 59; 4; spotify:track:0wSmZykDgah7GfaUNZUZCb; 0.602; 0.946; 4; 0; -2.298; 0.0654; 0.066; 1.13e-05; 0.388; 0.58; 141.925; 4
Ain't No Rest for the Wicked; Cage The Elephant; 2009-03-27; spotify:album:2vs5faN4o8NCNXAGLh3HJf; Cage The Elephant; spotify:artist:26T3LtbuGT1Fu9m0eRq5X3; 175493; 1; 3; spotify:track:3kb72STxc2959ZqsTwu52i; 0.634; 0.849; 0; 1; -7.075; 0.105; 0.0438; 0; 0.363; 0.919; 156.004; 4
Sweet Disaster; This Album Does Not Exist; 2016-08-26; spotify:album:2dtruUPZ49oSh468hKErtf; DREAMERS; spotify:artist:1FgsVeOhRYuSw2ghkIXV0A; 205173; 61; 3; spotify:track:7bEDDsy2LFC0KSqhZp5nPE; 0.515; 0.821; 0; 1; -2.333; 0.0309; 0.00794; 0; 0.0787; 0.425; 86.995; 4
'Cause I'm A Man; Currents; 2015-07-17; spotify:album:79dL7FLiJFOO0EoehUHQBv; Tame Impala; spotify:artist:5INjqkS1o8h1imAzPqGZBb; 241986; 64; 10; spotify:track:2O99aywAVBhaPrsiJ6zbSS; 0.547; 0.695; 9; 1; -4.969; 0.0337; 0.108; 0.00301; 0.14; 0.641; 144.684; 4
